x,prev,prevN,y
others,the,and all,1
shades,the,thinking are,1
references,all,have removed,1
father,her,domestic comfort,-1
ball,a,was at,-1
daughters,own,one s,1
surprise,by,take you,-1
gaieties,the,abound in,1
counterpart,the,entertainment was,-1
agreement,this,accordance with,-1
business,on,had called,-1
collection,the,folios in,-1
receipt,the,justified by,-1
ladyship,your,elizabeth smiling,-1
spots,interesting,all the,1
words:--,these,was in,-1
care,the,time to,-1
resolve,final,is your,-1
house,great,or the,-1
instruction,as,to them,-1
hints,few,law a,1
servant,his,feelings and,-1
invective,snarling,rough and,-1
moments,few,for a,1
lamentations,general,joining in,1
females,the,he and,1
defects,your,proud of,1
house,the,hills behind,-1
manner,his,alteration of,-1
truth,the,creature speaking,-1
rattle,the,delight as,-1
tickets,lottery,game of,1
sister,her,had seen,-1
year,a,four thousand,-1
heart,her,with all,-1
attack,natured,the ill,-1
father,her,child cried,-1
wife,the,elizabeth but,-1
town,in,had been,-1
christening,of,kind intention,-1
aunt,his,compliment to,-1
smile,a,hardly suppress,-1
composure,of,every appearance,-1
head,her,and shook,-1
friend,his,longer of,-1
pebbles,with,by puppets,1
mischief,the,of all,-1
day,every,happened almost,-1
liveliness,instead!--her,mr. collins,-1
fact,in,perfectly alive,-1
licence,special,by a,-1
delights,of,the repetition,1
man,agreeable,the most,-1
chance,their,materially lessen,-1
time,the,passing at,-1
seats,their,all taken,1
money,of,mere stateliness,-1
ball,the,angry that,-1
eagerness,in,the letter,-1
fall,let,lydia had,-1
ignorance,of,much better,-1
town,in,gardiner s,-1
advantage,pecuniary,more immediate,-1
number,a,accepted in,-1
favour,in,your plans,-1
master,a,a landlord,-1
invitation,and,s appearance,-1
feelings,her,it?--susceptibility to,1
attachment,his,of compassion,-1
intentions,s,revered father,1
companions,his,disdain of,1
girls,the,on myself,1
housekeeper,the,astonishment as,-1
mind,of,and presence,-1
fancy,your,loose to,-1
petticoat,dirty,morning her,-1
words,few,in a,1
terms,in,her fate,1
park,rosings,paling of,-1
report,this,catherine about,-1
family,the,absence before,-1
love,of,that kind,-1
friend,between,ordinary cases,-1
feature,every,visible in,-1
possibility,from,as far,-1
height,comparative,forgetting their,-1
agitations,the,well over,1
benevolence,or,of integrity,-1
voice,her,a display,-1
reflections,her,of it,1
cousin,dear,hertfordshire my,-1
uncle,my,pleasing to,-1
cousins,fair,wished his,1
girls,younger,of her,1
affection,his,time that,-1
society,superior,to very,-1
mother,your,the point,-1
friend,your,only smiled,-1
handkerchief,her,face with,-1
notice,frequent,from the,-1
door,the,the vestibule,-1
house,own,at his,-1
day,one,be consulted,-1
uncle,her,indebted to,-1
branch,olive,the offered,-1
dining,the,subject in,-1
grandfather,her,attention till,-1
behaviour,collected,elizabeth s,-1
opinion,my,but in,-1
cheerfulness,that,want of,-1
activity,an,seats with,-1
sisters,his,immediately while,1
feelings,her,be shaken,1
illustration,lii,listen chapter,-1
picture,the,looking at,-1
difference,the,obvious enough,-1
regard,a,and affection,-1
friends,or,his family,1
opportunity,favourable,the first,-1
person,a,used synonymously,-1
thirds,two,if discarding,1
feelings,my,evil but,1
ladies,two,it was,1
wonder,this,quest of,-1
purpose,any,for nearly,-1
happiness,his,and planning,-1
writing,little,that a,-1
delicacy,the,heart but,-1
pounds,thousand,as three,1
reports,that,he gravely,1
society,unvarying,confined and,-1
observer,acute,the most,-1
way,that,bourgh looked,-1
writing,your,evenness of,-1
trouble,the,not take,-1
one,no,there was,-1
example,my,to follow,-1
temper,my,to correct,-1
wife,his,dear cried,-1
death,s,her father,-1
disdain,selfish,and your,-1
tone,a,darcy in,-1
letter,his,did finish,-1
advantage,the,more for,-1
friend,overpowering,of his,-1
wife,his,to make,-1
aspect,nearer,examining the,-1
business,the,imagined that,-1
offer,s,mr. collins,-1
sight,of,soon out,-1
attitude,one,long in,-1
town,in,s being,-1
hope,s,mr. gardiner,-1
while,a,river for,-1
minutes,few,sitting a,1
face,the,eyes in,-1
transformation,gradual,from the,-1
family,poor,relieve the,-1
friends,your,to see,1
character,his,as is,-1
debt,my,visit in,-1
person,the,he was,-1
chair,his,drew back,-1
coarseness,such,incapable of,-1
room,the,eagerly round,-1
plenty,and,into harmony,-1
distance,short,a very,-1
acquaintances,new,be making,1
sister,my,thought of,-1
friend,her,that love,-1
reply,in,to say,-1
family,the,female of,-1
expectation,all,at least,-1
habit,the,been in,-1
friend,invaluable,brighton this,-1
anything,hertfordshire,attachment to,-1
money,any,refund of,-1
phrase,the,on which,-1
parents,the,will of,1
anyone,to,my lizzy,-1
money,quite,shall have,-1
lips,his,motion of,1
acquaintance,her,improvement of,-1
morning,monday,church well,-1
laurel,the,pales and,-1
family,their,formed in,-1
prohibition,no,know of,-1
neighbourhood,this,people in,-1
footman,the,entrance of,-1
pleasure,of,a matter,-1
sort,good,a very,-1
illustration,lxi,illustration chapter,-1
dignity,as,as happy,-1
invitation,formal,of a,-1
everything,of,the dulness,-1
yesterday,called,yes she,-1
world,the,man in,-1
means,all,parties by,1
table,card,near the,-1
mother,a,with such,-1
love,in,is crossed,-1
days,90,work within,1
time,same,at the,-1
subject,the,next on,-1
resentment,of,any symptom,-1
calmness,with,to speak,-1
mistakes,the,speaking stating,1
age,of,should be,-1
idea,an,that such,-1
notice,give,if you,-1
honour,the,solicit for,-1
gate,the,herself at,-1
tumult,the,him desperate,-1
doors,of,stir out,1
dear,my,the party,-1
insensibility,the,with all,-1
reception,their,s name,-1
permission,the,posted with,-1
room,the,with all,-1
laity,the,ceremony amongst,-1
rate,any,is at,-1
book,a,assented and,-1
choice,settled,was his,-1
years,ten,more than,1
ladyship,her,rosings park,-1
performance,the,imperfection of,-1
mistress,the,of being,-1
honour,of,for whatever,-1
prospect,the,delight in,-1
post,travelling,young women,-1
town,in,my being,-1
right,quite,been always,-1
tone,a,so authoritative,-1
lady,noble,the very,-1
house,the,master of,-1
illustration,xlii,gardiners chapter,-1
walk,their,inconvenience during,-1
affection,that,by all,-1
individual,one,sake of,-1
vindication,in,say something,-1
daughters,her,to get,1
deal,great,her a,-1
side,either,blame on,-1
compliment,the,insensible to,-1
advice,s,my uncle,-1
ladies,fine,fact very,1
copyright,entered,the party,-1
bit,little,and a,-1
trouble,of,a world,-1
news,of,a piece,-1
form,in,his declaration,-1
influence,the,animated and,-1
leave,took,when he,-1
evils,the,representation of,1
concern,affect,but just,-1
turn,your,when is,-1
regard,of,former professions,-1
lie,the,have given,-1
situation,my,are which,-1
establishment,the,or that,-1
reason,of,the reach,-1
men,young,balls and,1
brother,her,bingley but,-1
parties,their,histories of,1
domestics,few,rooms and,1
anything,beyond,her manners,-1
triumphing,of,be incapable,-1
mine,on,his reliance,-1
law,in,his sister,-1
disappointment,my,arrangement complete,-1
plan,first,pursue their,-1
mother,their,upstairs with,-1
paragraphs,both,comply with,1
pleasure,give,endeavoured to,-1
nothing,of,could think,-1
fervent,though,s feelings,-1
words,the,lines under,1
wish,a,this into,-1
prepossession,courted,i have,-1
attention,an,uneasiness with,-1
sentiments,my,might make,1
nothing,have,but i,-1
contempt,with,his misfortunes,-1
ball,a,any rate,-1
wishes,her,had believed,1
minute,a,for half,-1
behaviour,present,in his,-1
step,quick,bingley s,-1
sir,wish,i could,-1
place,the,to see,-1
astonishment,unaffected,looked with,-1
morning,the,pleasantly away,-1
journey,the,whole of,-1
friend,his,to as,-1
fool,a,sent on,-1
marriage,her,ago before,-1
one,no,much better,-1
time,in,longbourn only,-1
civility,obsequious,457 the,-1
abhorrence,her,to overcome,-1
gentlemen,the,for ever,1
woman,young,of a,-1
feelings,his,with by,1
interval,no,could find,-1
nature,of,the deficiency,-1
times,different,occurring at,1
fortnight,a,was there,-1
society,for,not be,-1
perturbation,the,their heads,-1
niece,her,place by,-1
wife,his,affectionate than,-1
truth,the,to suppose,-1
vanity,her,touched and,-1
spite,in,pleasing and,-1
spirits,her,perceive that,1
penetration,great,ladies have,-1
discourse,of,no want,-1
lips,s,your daughter,1
opportunity,an,them such,-1
town,from,comes back,-1
cause,other,found little,-1
time,one,were at,-1
others,with,to dance,1
acquaintance,the,given up,-1
confusion,some,bingley in,-1
part,some,to him,-1
man,young,that any,-1
sisters,his,be explained,1
satisfactions,the,spent in,1
question,the,certain forgive,-1
sentence,next,what the,-1
cruelty,of,accusing you,-1
nothing,often,is very,-1
sentiments,our,hoped that,1
explanation,s,mr. darcy,-1
competitor,possible,the only,-1
people,good,half the,1
bequest,the,terms of,-1
end,an,soon put,-1
sister,my,fearful of,-1
case,present,in the,-1
pride,his,easily forgive,-1
time,third,even a,-1
knees,her,hesitated but,1
plan,the,depending on,-1
praise,all,mr. collins,-1
affection,and,good wishes,-1
prospect,its,to enjoy,-1
heart,broken,of a,-1
love,in,towards falling,-1
rank,of,with people,-1
vice,their,folly or,-1
town,to,you get,-1
perturbation,some,woods with,-1
feelings,such,way to,1
proposal,this,pleased with,-1
recollections,unpleasant,delight of,1
instances,both,degree in,1
brains,our,should enter,1
friends,dear,of his,1
stay,any,to make,-1
term,the,not use,-1
nothing,is,but that,-1
boys,little,troop of,1
neighbourhood,furniture,the house,-1
motive,its,to longbourn,-1
others,on,completion depended,1
wishes,own,understand her,1
scene,melancholy,after the,-1
nothing,life,way of,-1
education,and,of sense,-1
mother,her,fear that,-1
assurance,the,seconded by,-1
proposal,great,in the,-1
ladies,the,censure of,1
party,whole,and the,-1
competition,in,be put,-1
inns,the,and at,1
night,the,saw them,-1
felicity,equal,wish you,-1
hope,a,hint of,-1
country,the,difference in,-1
morning,this,the room,-1
exertion,for,had hoped,-1
strength,the,dissatisfied on,-1
misunderstanding,the,something of,-1
fancy,a,you had,-1
construction,of,those loosenesses,-1
day,following,town the,-1
account,other,to any,-1
wedding,her,merry at,-1
affair,an,you on,-1
word,a,said not,-1
interest,bennet,yes miss,-1
fingers,my,play next,1
name,his,the world,-1
pause,short,after a,-1
town,the,drove from,-1
neighbours,her,by all,1
property,"desire,--splendid",can most,-1
inclination,to,always opposed,-1
life,in,my situation,-1
particulars,other,or any,1
feelings,own,to my,1
wonder,the,which makes,-1
master,your,ramsgate if,-1
sort,what,she added,-1
constitution,sickly,of a,-1
detection,either,everything concerning,-1
compassion,all,she lost,-1
possession,take,is to,-1
permission,any,ventured without,-1
love,from,to love,-1
curiosity,her,object of,-1
table,the,he approached,-1
man,a,he is,-1
countenance,whose,mother in,-1
views,my,told why,1
emotion,his,soon quieted,-1
joy,of,was full,-1
others,and,mrs. norris,1
joy,was,lower all,-1
pride,his,in which,-1
balls,few,for a,1
doing,own,been my,-1
regiment,the,intimates in,-1
undertaking,in,though dilatory,-1
uncle,my,we take,-1
matter,the,it settled,-1
time,some,again after,-1
clergy,the,which regulate,-1
place,took,the marriage,-1
reason,the,your cousin,-1
exercise,mechanic,the sad,-1
week,last,for the,-1
horses,the,acknowledgment that,1
joining,his,objection to,-1
anyone,were,if there,-1
illustration,both----,seen them,-1
one,no,means that,-1
inquiries,the,answer to,1
nothing,and,mr. bennet,-1
sister,youngest,anyone my,-1
man,the,see is,-1
sister,her,and making,-1
opinion,our,more to,-1
influence,natural,the more,-1
colour,changed,meeting both,-1
objection,smallest,not the,-1
day,the,were comforted,-1
character,s,that wickham,-1
supper,when,tranquillity for,-1
strength,great,united with,-1
dining,of,the entertainment,-1
meaning,their,and of,-1
education,by,little assisted,-1
enjoyment,the,it in,-1
yours,on,is determined,1
ideas,his,according to,1
imperfection,the,attention to,-1
sins,the,scapegoat of,1
eyes,my,acquiescence when,1
husband,a,have got,-1
compassion,of,a cause,-1
point,and,remarkable spot,-1
anybody,affront,her to,-1
friend,his,pronounced by,-1
house,the,to have,-1
day,after,subject day,-1
partner,fair,that your,-1
situation,of,for difference,-1
instant,an,have not,-1
nothing,have,he should,-1
song,a,to half,-1
pleasure,the,elizabeth for,-1
distress,our,on them,-1
evening,the,gaiety but,-1
copy,a,user provide,-1
face,pale,appeared her,-1
country,the,to think,-1
pleasure,the,have had,-1
marriage,her,without which,-1
mind,her,his character,-1
walk,a,was within,-1
intelligence,no,jane had,-1
obstacles,two,her instrument,1
uncle,dear,that my,-1
visits,two,during the,1
suppositions,ingenious,barefaced questions,1
addition,in,another thousand,-1
evening,their,addition to,-1
life,my,never in,-1
section,www.gutenberg.org/contact,page at,-1
kind,the,he is,-1
line,female,from the,-1
man,young,to this,-1
door,the,sound of,-1
table,a,design for,-1
boy,hearted,most generous,-1
office,business,foundation s,-1
flirting,tenderly,away 285,-1
solemnity,monotonous,with very,-1
nothing,had,her daughters,-1
century,eighteenth,the early,-1
relations,nearest,of your,1
threats,these,took all,1
advantage,uncommon,is an,-1
friend,his,importance in,-1
opportunities,her,which afforded,1
pleasure,no,she had,-1
credit,no,she paid,-1
nothing,have,they will,-1
proposals,his,to make,1
point,the,give up,-1
hour,half,here this,-1
evil,no,however was,-1
house,large,took a,-1
health,good,in very,-1
honour,the,i have,-1
judge,fair,be a,-1
time,the,he as,-1
gentlemen,the,passed before,1
purchases,s,and lydia,1
reason,excellent,had an,-1
entertainment,such,evening every,-1
fortune,or,family connections,-1
easiness,the,best knew,-1
management,good,deal of,-1
presence,the,merely from,-1
object,chief,that his,-1
night,sleepless,thought one,-1
altar,the,you to,-1
period,any,home at,-1
tea,at,joined them,-1
man,the,abhorrence of,-1
touches,in,found cynicism,1
period,that,denominated from,-1
others,in,how impossible,1
